Period,"Queensland<br/> (Megawatts)","Queensland<br/> (Date occurred)","New South Wales<br/> (Megawatts)","New South Wales<br/> (Date occurred)","Victoria<br/> (Megawatts)","Victoria<br/> (Date occurred)","South Australia<br/> (Megawatts)","South Australia<br/> (Date occurred)","Tasmania<br/> (Megawatts)","Tasmania<br/> (Date occurred)",
Summer 1998/99,"5994","18/02/1999","10275","15/02/1999","6670","04/02/1999","2427","04/02/1999","","",
Winter 1999,"5879","28/06/1999","11424","15/06/1999","6745","15/06/1999","1921","15/06/1999","","",
Summer 1999/00,"6340","21/01/2000","10662","09/02/2000","7717","02/03/2000","2646","02/02/2000","","",
Winter 2000,"6343","06/06/2000","11822","30/05/2000","7113","29/05/2000","2142","28/06/2000","","",
Summer 2000/01,"6584","29/01/2001","11547","24/01/2001","8019","08/02/2001","2833","07/02/2001","","",
Winter 2001,"6397","09/07/2001","11713","09/07/2001","7137","14/06/2001","2095","24/07/2001","","",
Summer 2001/02,"7045","11/02/2002","10982","21/01/2002","7581","14/02/2002","2500","19/02/2002","","",
Winter 2002,"6345","02/07/2002","12074","18/06/2002","7300","27/06/2002","2129","27/06/2002","","",
Summer 2002/03,"7105","31/01/2003","12331","30/01/2003","8041","24/02/2003","2787","04/02/2003","","",
Winter 2003,"6778","31/07/2003","12468","28/07/2003","7499","30/07/2003","2137","23/06/2003","","",
Summer 2003/04,"7918","23/02/2004","12216","09/03/2004","8583","17/12/2003","2602","16/12/2003","","",
Winter 2004,"7106","21/06/2004","13041","19/07/2004","7437","28/07/2004","2156","19/07/2004","","",
Summer 2004/05,"8189","08/02/2005","12854","30/11/2004","8492","25/01/2005","2625","11/01/2005","","",
Winter 2005,"7249","27/06/2005","13123","23/06/2005","7750","12/07/2005","2263","12/07/2005","1718","27/06/2005",
Summer 2005/06,"8271","14/02/2006","13297","02/02/2006","8742","24/02/2006","2921","20/01/2006","1348","20/03/2006",
Winter 2006,"7614","20/06/2006","13078","20/07/2006","7880","05/06/2006","2379","14/06/2006","1747","30/05/2006",
Summer 2006/07,"8625","12/03/2007","12868","30/01/2007","9080","16/01/2007","2958","16/01/2007","1556","16/11/2006",
Winter 2007,"7838","20/06/2007","13894","17/07/2007","8369","17/07/2007","2460","19/06/2007","1827","18/06/2007",
Summer 2007/08,"8115","22/02/2008","12944","30/01/2008","9830","17/03/2008","3155","17/03/2008","1513","31/03/2008",
Winter 2008,"8203","28/07/2008","14292","28/07/2008","8089","28/07/2008","2534","29/07/2008","1884","21/07/2008",
Summer 2008/09,"8697","09/02/2009","14097","06/02/2009","10490","29/01/2009","3391","29/01/2009","1511","05/11/2008",
Winter 2009,"7707","16/07/2009","13003","10/06/2009","8188","10/06/2009","2441","23/06/2009","1763","09/07/2009",
Summer 2009/10,"8933","18/01/2010","13913","22/01/2010","10088","11/01/2010","3302","11/01/2010","1460","30/11/2009",
Winter 2010,"7421","29/06/2010","13324","29/06/2010","8127","28/06/2010","2508","01/07/2010","1783","09/07/2010",
Summer 2010/11,"8809","21/02/2011","14764","01/02/2011","9906","01/02/2011","3397","31/01/2011","1475","31/03/2011",
Winter 2011,"7725","09/06/2011","12942","19/07/2011","8242","07/06/2011","2385","08/06/2011","1830","05/07/2011",
Summer 2011/12,"8699","09/01/2012","12072","30/01/2012","9155","24/01/2012","2978","23/01/2012","1448","03/11/2011",
Winter 2012,"7461","27/06/2012","12205","05/06/2012","7950","21/06/2012","2419","24/05/2012","1705","27/06/2012",
Summer 2012/13,"8606","04/12/2012","13906","18/01/2013","9760","12/03/2013","3096","17/01/2013","1415","02/11/2012",
Winter 2013,"7233","22/05/2013","11662","24/06/2013","7898","24/06/2013","2352","22/07/2013","1766","24/06/2013",
Summer 2013/14,"8465","22/01/2014","12016","20/12/2013","10308","16/01/2014","3280","16/01/2014","1469","08/11/2013",
Winter 2014,"7407","01/07/2014","11412","30/06/2014","7648","15/07/2014","2395","31/07/2014","1728","30/06/2014",
Summer 2014/15,"8969","05/03/2015","11874","21/11/2014","8635","22/01/2015","2806","07/01/2015","1457","27/03/2015",
Winter 2015,"8006","17/07/2015","12129","16/07/2015","7923","14/07/2015","2450","21/07/2015","1747","19/06/2015",
Summer 2015/16,"9260","01/02/2016","13599","25/02/2016","9523","13/01/2016","2957","17/12/2015","1461","03/11/2015",
Winter 2016,"8117","27/06/2016","12620","27/06/2016","7767","26/07/2016","2460","26/07/2016","1676","23/07/2016",
Summer 2016/17,"9508","18/01/2017","14107","10/02/2017","8730","09/02/2017","3085","08/02/2017","1479","08/11/2016",
Winter 2017,"7805","13/06/2017","11986","03/07/2017","7472","20/07/2017","2307","03/07/2017","1743","27/06/2017",
Summer 2017/18,"9922","14/02/2018","13081","19/12/2017","9159","19/01/2018","2962","18/01/2018","1412","08/11/2017",
Winter 2018,"8277","18/06/2018","12123","19/06/2018","7484","28/06/2018","2380","26/06/2018","1736","28/06/2018",
Summer 2018/19,"10179","13/02/2019","13861","31/01/2019","9318","24/01/2019","3244","24/01/2019","1395","09/11/2018",
Winter 2019,"8189","04/06/2019","12140","04/06/2019","7601","29/05/2019","2565","24/06/2019","1756","24/06/2019",
Summer 2019/20,"9971","03/02/2020","13827","01/02/2020","9618","31/01/2020","3221","19/12/2019","1444","08/11/2019",
Winter 2020,"8250","14/07/2020","12165","23/06/2020","7630","01/06/2020","2512","09/06/2020","1699","09/06/2020",
