Quarter,"Battery (Percent of time)","Coal-Black (Percent of time)","Coal-Brown (Percent of time)","Gas (Percent of time)","Hydro (Percent of time)","Liquid (Percent of time)","Solar (Percent of time)","Wind (Percent of time)","Battery ($ per mw hours)","Coal-Black ($ per mw hours)","Coal-Brown ($ per mw hours)","Gas ($ per mw hours)","Hydro ($ per mw hours)","Liquid ($ per mw hours)","Solar ($ per mw hours)","Wind ($ per mw hours)"
2014 Q3,0.00,53.78,7.60,15.25,25.13,0.00,0.00,0.15,,35.73,32.21,40.44,42.55,,,-3.97
2014 Q4,0.00,70.49,9.65,7.93,13.47,0.01,0.00,0.00,,29.92,24.42,32.61,41.19,53.64,,-26.78
2015 Q1,0.00,69.46,5.08,7.97,19.75,0.01,0.00,0.03,,29.90,24.68,46.23,43.54,38.83,,-43.91
2015 Q2,0.00,66.69,4.09,5.74,25.31,0.00,0.00,0.03,,31.62,30.06,47.32,38.77,,,-19.93
2015 Q3,0.00,69.86,2.30,9.37,20.18,0.01,0.00,0.00,,42.86,37.43,55.53,43.99,64.49,,-35.00
2015 Q4,0.00,79.67,2.56,10.67,8.22,0.00,0.00,0.15,,39.09,22.24,55.63,55.76,,,-153.71
2016 Q1,0.00,68.78,3.94,10.95,17.12,0.16,0.00,0.05,,39.06,28.34,65.69,43.87,72.71,-1000.00,-46.83
2016 Q2,0.00,49.71,4.03,26.93,21.98,0.79,0.00,0.09,,49.99,25.15,105.98,102.13,75.86,,-69.08
2016 Q3,0.00,66.93,3.91,12.54,18.53,0.04,0.00,0.04,,40.71,22.77,96.03,73.08,151.24,,-177.15
2016 Q4,0.00,69.56,6.25,12.31,17.36,0.00,0.00,0.16,,58.62,18.31,77.43,57.40,,,-278.97
2017 Q1,0.00,55.81,4.68,17.11,24.17,0.75,0.00,0.00,,92.12,33.20,138.21,137.35,143.43,-1000.00,-517.44
2017 Q2,0.00,61.24,0.92,18.75,20.95,0.02,0.00,0.00,,84.47,41.96,104.91,107.73,339.81,,
2017 Q3,0.00,66.50,0.84,12.78,21.05,0.03,0.00,0.00,,82.73,42.89,95.87,110.06,328.21,,
2017 Q4,0.00,69.65,0.66,13.90,17.54,0.02,0.00,0.01,,70.41,39.09,82.84,97.17,329.65,,-515.90
2018 Q1,0.02,70.61,0.57,11.82,18.54,0.04,0.01,0.00,114.23,65.76,33.68,86.46,89.16,213.03,0.00,
2018 Q2,0.45,53.52,1.02,14.79,32.70,0.04,0.00,0.03,115.54,64.28,17.49,103.75,97.95,336.93,0.00,-11.58
2018 Q3,0.19,53.28,0.73,15.80,33.73,0.00,0.02,0.09,113.28,62.88,12.61,99.66,105.35,,-186.93,-877.06
2018 Q4,0.11,62.76,0.43,19.86,20.39,0.02,0.00,0.04,112.92,66.31,25.15,101.64,116.26,246.14,-1000.00,-619.59
2019 Q1,0.10,66.40,0.73,16.36,18.87,0.04,0.02,0.02,197.40,80.44,25.78,104.55,165.49,330.96,-19.24,-45.85
2019 Q2,0.22,59.86,0.43,12.92,31.09,0.05,0.12,0.02,120.41,62.71,16.46,97.52,112.85,160.14,-133.68,-18.27
2019 Q3,0.22,53.02,1.10,21.61,28.00,0.01,0.95,0.65,161.29,54.79,15.42,81.23,126.21,379.97,-68.58,-35.30
2019 Q4,0.14,58.03,0.94,18.52,23.88,0.01,0.37,0.30,156.63,52.65,17.94,78.27,100.77,289.98,-97.57,-43.90
2020 Q1,0.06,62.52,1.14,16.32,22.18,0.01,0.20,0.21,2388.71,48.66,8.99,89.49,132.81,299.20,-12.11,1583.63
2020 Q2,0.16,63.60,2.46,14.16,20.62,0.01,0.86,1.06,259.86,36.52,9.35,51.53,52.51,1065.00,-13.99,-0.03
2020 Q3,0.20,68.46,1.51,14.60,17.43,0.00,1.15,0.74,303.44,37.77,10.73,51.28,65.82,379.98,-5.48,-10.21
